_id,Set,Number,Name,Color,Cmc,Mana,Type,Subtype(s)
65047ed02ed29fcf3e3df1da,Limited Edition Alpha,,,,,,,
65047ed02ed29fcf3e3df1db,,1,Animate Wall,White,1,{w},Enchantment,Aura
65047ed02ed29fcf3e3df1dc,,2,Armageddon,White,4,{3} {w},Sorcery,
65047ed02ed29fcf3e3df1dd,,3,Balance,White,2,{1} {w},Sorcery,
65047ed02ed29fcf3e3df1de,,4,Benalish Hero,white,1,{w},Creature,Human Soldier
65047ed02ed29fcf3e3df1df,,5,Black Ward,white,1,{w},Enchantment,Aura
65047ed02ed29fcf3e3df1e0,,6,Blaze of Glory,White,1,{w},Instant,
65047ed02ed29fcf3e3df1e1,,7,Blessing,White,2,{w} {w},Enchantment,Aura
65047ed02ed29fcf3e3df1e2,,8,Blue Ward,White,1,{w},Enchantment,Aura
65047ed02ed29fcf3e3df1e3,,9,Castle,White,4,{3} {w},Enchantment,
65047ed02ed29fcf3e3df1e4,,10,Circle of Protection: Blue,White,2,{1} {w},Enchantment,
65047ed02ed29fcf3e3df1e5,,11,Circle of Protection: Green,White,2,{1} {w},Enchantment,
65047ed02ed29fcf3e3df1e6,,12,Circle of Protection: Red,White,2,{1} {w},Enchantment,
65047ed02ed29fcf3e3df1e7,,13,Circle of Protection: White,White,2,{1} {w},Enchantment,
65047ed02ed29fcf3e3df1e8,,14,Consecrate Land,White,1,{w},Enchantment,Aura
65047ed02ed29fcf3e3df1e9,,15,Conversion,White,4,{2} {w} {w},Enchantment,
65047ed02ed29fcf3e3df1ea,,16,Crusade,White,2,{w} {w},Enchantment,
65047ed02ed29fcf3e3df1eb,,17,Death Ward,White,1,{w},Instant,
65047ed02ed29fcf3e3df1ec,,18,Disenchant,White,2,{1} {w},Instant,
65047ed02ed29fcf3e3df1ed,,19,Farmstead,White,3,{w} {w} {w},Enchantment,Aura
65047ed02ed29fcf3e3df1ee,,20,Green Ward,White,1,{w},Enchantment,Aura
65047ed02ed29fcf3e3df1ef,,21,Guardian Angel,White,1,{x} {w},Instant,
65047ed02ed29fcf3e3df1f0,,22,Healing Salve,White,1,{w},Instant,
65047ed02ed29fcf3e3df1f1,,23,Holy Armor,White,1,{w},Enchantment,Aura
65047ed02ed29fcf3e3df1f2,,24,Holy Strength,White,1,{w},Enchantment,Aura
65047ed02ed29fcf3e3df1f3,,25,Island Sanctuary,White,2,{1} {w},Enchantment,
65047ed02ed29fcf3e3df1f4,,26,Karma,White,4,{2} {w} {w},Enchantment,
65047ed02ed29fcf3e3df1f5,,27,Lance,White,1,{w},Enchantment,Aura
65047ed02ed29fcf3e3df1f6,,28,Mesa Pegasus,White,2,{1} {w},Creature,Pegasus
